"ROW","ResponseId","AGECAT"
"1","R_2sbvudRLq1e7enD","18-30"
"2","R_2P0RqSmg2bg7X4x","31-40"
"3","R_1lcwog5AmIn4Xxm","18-30"
"4","R_262sDOqfkYLbI6N","41-50"
"5","R_VVaksEObYswmFiN","18-30"
"6","R_1HnvwGcVpxhIf5q",NA
"7","R_391WUQSxc7Sx1v3","41-50"
"8","R_3J8H6zsk5rbqTdz","31-40"
"9","R_3RgVC1ftzRnCc2L",NA
"10","R_29aJNpJ6IgzLPsc",NA
"11","R_3F4J8nLRt8sBI3H",NA
"12","R_9mef80tRWsKb8qd",NA
"13","R_ea0EGiz5RFJU4Eh",NA
"14","R_UaUZ7IKfXSD2ztf",NA
"15","R_2VvB9j0CUqjopIB",NA
"16","R_1E7e3r9CJXrYlm9",NA
"17","R_125TWtHNggLXHfE",NA
"18","R_tVPauwBhB4jFoZP",NA
"19","R_3RpUVGfyfIxBxJ0",NA
"20","R_3OiRh8UTivlHHxX",NA
"21","R_1i9a1FAPEskEQhf",NA
"22","R_1CsEfVlGJfeXW8x",NA
"23","R_2dg4XAdWoDoPW31","18-30"
"24","R_DJ0jPW4Ipi5B7WN","31-40"
"25","R_2R9Otjkc5vcQl0F","18-30"
"26","R_2urMzVzYNFaRc0W","41-50"
"27","R_25TIGbsAPu2C8Qb","31-40"
"28","R_exELqk72fsex2yB","41-50"
"29","R_1f2thO7ONTG1GAG","18-30"
"30","R_3jdElyiOqe4xl3W","18-30"
"31","R_2QGSpRxUndfFawI","31-40"
"32","R_2cqq1zy2er7ubeo","31-40"
"33","R_0JrZpfG5RlFwdrj","41-50"
"34","R_1f3N7M5k9y6dWMi","31-40"
"35","R_9Y0MvSQoPSks58t","31-40"
"36","R_XGtqS7Ea3rkIS9X","41-50"
"37","R_12ruOkT1tKwFe6S","31-40"
"38","R_25XSXnFw6UlzijO","31-40"
"39","R_2P5r94Shu9vK7iB","31-40"
"40","R_31apwmcbnCHRfZN","31-40"
"41","R_siMzAuEe8InGp21","51-60"
"42","R_3JE4UknGLBGKA0C","18-30"
"43","R_2wLlv5ukSkyOAxy","18-30"
"44","R_2Suw5wM7gQzwDQC","18-30"
"45","R_PARB2euJVYO2VhL","31-40"
"46","R_2Xp3elJKtuYx7Tl","18-30"
"47","R_1Qz9FtPQ7i6F2qX","31-40"
"48","R_1GxEKgy4LaCgqak","31-40"
"49","R_3hyCCSMEm5Qni6Z","31-40"
"50","R_21yoXQFtEyaBjeh","31-40"
"51","R_RLcdGULu0uuEait","51-60"
"52","R_1pKBBcpBeiZ7XLC","61-70"
"53","R_8GQIyfvOHbOeLfj","18-30"
"54","R_Dq3v2xU0PVUxXPz","18-30"
"55","R_xhK4oN1nuIWm8kp","18-30"
"56","R_2c29AMDtGgLVkKE","41-50"
"57","R_1GQ9yVu7iQ6BtyX","18-30"
"58","R_12fFL1oXR5oSeAd","51-60"
"59","R_2AQFpTgHrsauDlu","41-50"
"60","R_1XDFJL2e2xdp3W1","31-40"
"61","R_uev8LPnEYagoTrr","61-70"
"62","R_3oFu4TnQ2fCmCEj","18-30"
"63","R_20VfQxKoZ2t8uod","41-50"
"64","R_1ghjAIM3PrMiQoC","61-70"
"65","R_2vjFaEN8hQmycXN","41-50"
"66","R_33xJ97uQXb33Hu1","18-30"
"67","R_OqzuIdgL1FEf8bf","31-40"
"68","R_2YyvgQTLgZXTTB1","51-60"
"69","R_2QsVtnezmjnAJlq","41-50"
"70","R_21p2YOEESGByggr","18-30"
"71","R_1NhvFW61qbfuoSY","41-50"
"72","R_2qad4XXF3wjMZkg","61-70"
"73","R_z1OtwMoZ8Ix9whr","31-40"
"74","R_1NE6BFtvAssnGtL","18-30"
