site,time,latitude,longitude,air_temp,rh,heat_index,canopy_cover,team_name
A,14:35,45.480000,-122.630278,64.6,33.4,57.9,0,team edward
B,14:33,45.480000,-122.631111,62.0,30.5,57.0,50,team edward
C,14:29,45.480833,-122.633333,63.2,32.7,57.9,10,team edward
D,14:19,45.483056,-122.638056,65.0,33.2,58.6,0,team edward
E,14:29,45.482500,-122.633889,61.5,34.1,57.0,50,team edward
F,14:39,45.481944,-122.630556,61.3,33.3,56.8,0,team edward
G,14:48,45.482222,-122.625833,64.5,35.2,59.5,35,team edward
H,14:58,45.478333,-122.625278,63.2,31.0,57.9,95,team edward
A,14:50,45.480000,-122.630000,62.1,30.4,56.8,0,super star
B,14:53,45.480000,-122.630833,62.6,28.6,57.4,20,super star
C,14:57,45.480833,-122.630833,63.3,34.5,57.7,10,super star
D,15:12,45.481944,-122.639722,62.5,34.6,58.1,0,super star
E,14:11,45.482222,-122.633889,64.4,41.4,58.1,80,super star
F,14:21,45.481667,-122.626667,62.7,30.2,58.6,10,super star
G,14:32,45.481667,-122.626667,64.2,32.9,60.1,75,super star
H,14:43,45.478611,-122.625556,61.8,33.0,57.4,80,super star
A,14:32,45.480833,-122.628611,64.9,31.7,60.1,0,crips (as in crippled)
B,14:34,45.480556,-122.629722,61.2,32.0,56.3,100,crips (as in crippled)
C,14:38,45.480833,-122.633611,63.3,31.5,59.0,0,crips (as in crippled)
D,14:52,45.483056,-122.637778,67.4,30.7,63.1,0,crips (as in crippled)
E,14:44,45.482222,-122.634167,63.5,35.9,59.2,100,crips (as in crippled)
F,14:06,45.481944,-122.630556,61.6,33.2,57.2,20,crips (as in crippled)
G,14:14,45.481667,-122.631944,61.1,40.7,57.4,80,crips (as in crippled)
H,14:26,45.478333,-122.626111,64.4,32.8,59.9,20,crips (as in crippled)
A,14:15,45.480278,-122.631944,65.2,37.1,60.4,0,Half Dome
B,14:13,45.480556,-122.632500,62.4,34.4,58.1,50,Half Dome
C,14:10,45.480833,-122.633333,61.2,32.0,57.9,0,Half Dome
D,14:53,45.483333,-122.637778,67.2,30.0,62.6,0,Half Dome
E,14:47,45.482500,-122.635000,65.4,35.4,61.3,50,Half Dome
F,14:39,45.481944,-122.630278,63.0,31.6,58.5,5,Half Dome
G,14:32,45.481667,-122.626667,61.7,31.2,57.6,30,Half Dome
H,14:25,45.478333,-122.625278,63.4,32.7,59.0,95,Half Dome
A,14:56,45.480278,-122.626944,61.1,27.6,56.3,0,AAA (Triple A) 
B,14:06,45.480556,-122.630556,60.9,30.9,55.9,30,AAA (Triple A) 
C,14:10,45.480833,-122.633333,60.5,31.9,56.1,10,AAA (Triple A) 
D,14:19,45.483056,-122.637778,61.3,32.6,57.4,0,AAA (Triple A) 
E,14:26,45.482500,-122.633889,64.2,37.1,59.9,70,AAA (Triple A) 
F,14:32,45.481944,-122.630556,60.2,23.7,55.3,10,AAA (Triple A) 
G,14:40,45.481667,-122.626667,64.2,35.5,59.5,60,AAA (Triple A) 
H,14:49,45.478333,-122.625556,62.3,23.2,57.6,80,AAA (Triple A) 
A,14:05,45.480322,-122.629925,62.2,28.4,57.4,0,Rindy
B,14:07,45.480403,-122.630586,60.7,29.0,56.1,40,Rindy
C,14:11,45.480869,-122.633425,61.3,31.9,56.8,20,Rindy
D,14:21,45.483072,-122.637861,63.1,31.1,58.3,0,Rindy
E,14:28,45.482344,-122.635792,62.7,34.7,58.3,80,Rindy
F,14:38,45.481967,-122.630533,62.4,33.6,57.9,20,Rindy
G,14:44,45.481700,-122.626461,61.6,36.8,57.6,90,Rindy
H,14:52,45.478406,-122.625289,63.9,32.5,59.2,70,Rindy
A,14:16,45.479167,-122.630000,60.5,32.9,55.4,0,Sharkgirl and Dirtboy
B,14:16,45.480278,-122.630833,60.1,32.9,55.9,20,Sharkgirl and Dirtboy
C,14:20,45.480833,-122.633333,64.2,33.2,58.6,0,Sharkgirl and Dirtboy
D,14:36,45.483056,-122.640000,63.4,27.2,59.4,0,Sharkgirl and Dirtboy
E,14:47,45.482500,-122.635000,66.0,29.6,60.1,15,Sharkgirl and Dirtboy
F,14:52,45.481944,-122.630000,63.5,30.5,58.5,0,Sharkgirl and Dirtboy
G,15:15,45.482222,-122.625833,69.0,36.0,64.2,10,Sharkgirl and Dirtboy
H,14:06,45.478333,-122.625556,60.3,31.9,55.8,100,Sharkgirl and Dirtboy
A,14:34,45.480000,-122.630278,71.5,25.4,68.4,0,Nutriae
B,14:37,45.480278,-122.631111,62.6,23.9,57.9,30,Nutriae
C,14:40,45.480833,-122.633611,67.4,23.4,60.8,5,Nutriae
D,14:54,45.483056,-122.637778,65.3,20.7,58.5,0,Nutriae
E,14:47,45.482500,-122.635000,76.0,28.0,72.3,40,Nutriae
F,15:03,45.481944,-122.630556,66.5,26.0,61.5,20,Nutriae
G,14:13,45.481944,-122.625833,67.6,33.5,62.8,1,Nutriae
H,14:29,45.478614,-122.625288,68.9,22.4,59.5,75,Nutriae
