Device Name,Beta
Device Model,Kestrel DROP 3
Serial Number,2705263
FORMATTED DATE_TIME,Temperature,Relative Humidity,Station Pressure,Heat Index,Dew Point,Density Altitude
yyyy-MM-dd hh:mm:ss a,°F,%,inHg,°F,°F,ft,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
2023-03-21 03:29:15 PM,71.2,34.7,29.46,69.1,41.9,1437,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:20 PM,71.5,34.3,29.45,69.4,41.9,1459,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:25 PM,71.5,34.0,29.46,69.3,41.7,1454,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:30 PM,71.4,33.7,29.45,69.1,41.4,1454,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:35 PM,71.5,33.5,29.46,69.3,41.3,1457,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:40 PM,71.7,33.1,29.46,69.4,41.2,1462,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:45 PM,71.6,32.8,29.46,69.3,40.8,1457,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:50 PM,71.4,32.7,29.46,69.1,40.6,1442,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:29:55 PM,71.5,32.8,29.46,69.3,40.7,1447,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:00 PM,71.2,33.0,29.45,68.9,40.7,1439,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:05 PM,70.6,33.1,29.45,68.4,40.2,1405,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:10 PM,69.5,33.1,29.43,66.7,39.3,1349,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:15 PM,68.7,32.8,29.45,65.5,38.3,1273,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:20 PM,68.5,32.7,29.46,65.1,38.0,1251,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:25 PM,68.9,32.5,29.46,66.0,38.3,1276,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
2023-03-21 03:30:30 PM,69.3,32.7,29.46,66.6,38.7,1307,session,"Session - Mar 21, 2023 3:29:11 PM",2023-03-21 03:29:11 PM 3:29:11 PM,00:38:42,,"902 NE Going St, Portland, OR 97211, USA","https://www.google.com/maps/search/?api=1&query=45.5561974,-122.6563426",
