Device Name,Beta
Device Model,Kestrel DROP 3
Serial Number,2705263
FORMATTED DATE_TIME,Temperature,Relative Humidity,Station Pressure,Heat Index,Dew Point,Density Altitude
yyyy-MM-dd hh:mm:ss a,°F,%,inHg,°F,°F,ft,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
2023-03-22 08:12:44 AM,51.4,50.9,29.55,49.4,33.8,10,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:12:49 AM,50.6,50.5,29.55,48.5,32.9,-50,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:12:54 AM,49.7,50.3,29.55,47.8,32.0,-114,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:12:59 AM,49.8,50.0,29.55,48.0,32.0,-102,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:13:04 AM,49.7,49.9,29.56,47.8,31.7,-121,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:13:09 AM,50.7,49.8,29.55,48.7,32.7,-43,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:13:14 AM,51.6,49.7,29.54,49.6,33.5,29,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:13:19 AM,52.3,49.7,29.55,50.0,34.0,64,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:13:24 AM,52.9,49.7,29.55,50.7,34.6,105,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
2023-03-22 08:13:29 AM,51.9,49.7,29.55,49.8,33.6,38,session,"Session - Mar 22, 2023 8:12:41 AM",2023-03-22 08:12:41 AM 8:12:41 AM,00:33:09,,"5900 SE 38th Ave, Portland, OR 97202, USA","https://www.google.com/maps/search/?api=1&query=45.4797164,-122.6233309",
