Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64446e50359c1f1167ad236f,5f7a0bc4853bd46503a27113,APPROVED,2023-04-22T23:31:33.061000Z,2023-04-22T23:36:32.899000Z,2023-04-22T23:36:33.275000,2023-04-22T23:36:33.222192Z,300,CTR530VA,1149,English,26,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64446e5121556c4fc14873a5,609dba65bb72eb44f1aaf18c,APPROVED,2023-04-22T23:31:32.305000Z,2023-04-22T23:37:39.223000Z,2023-04-22T23:37:39.696000,2023-04-22T23:37:39.636272Z,367,CTR530VA,301,English,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64446ec72e5908edb6faf3b9,604d5772ee67e298e25c198b,APPROVED,2023-04-22T23:33:29.465000Z,2023-04-22T23:36:40.285000Z,2023-04-22T23:36:41.136000,2023-04-22T23:36:41.086409Z,191,CTR530VA,1117,"English, French",39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64446f0ed1d8b445e896e2c3,5e537682df966b3807ac08f9,APPROVED,2023-04-22T23:35:18.073000Z,2023-04-22T23:46:39.698000Z,2023-04-22T23:46:40.127000,2023-04-22T23:46:40.058153Z,682,CTR530VA,25,English,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6444704eacc05dce441943e7,5ff36928b82e4645fcbc7f10,APPROVED,2023-04-22T23:40:03.670000Z,2023-04-22T23:47:33.251000Z,2023-04-22T23:47:33.709000,2023-04-22T23:47:33.656555Z,450,CTR530VA,224,English,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6444709040d6bede3cb34bcd,5dec17c87aeafe30634f55f7,APPROVED,2023-04-22T23:41:08.066000Z,2023-04-22T23:46:19.075000Z,2023-04-22T23:46:19.513000,2023-04-22T23:46:19.460819Z,312,CTR530VA,740,English,44,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64447115c99d0de1790e4641,60cc0b5921c706ea8fff78e8,APPROVED,2023-04-22T23:43:55.379000Z,2023-04-22T23:53:18.560000Z,2023-04-22T23:53:19.061000,2023-04-22T23:53:18.995313Z,564,CTR530VA,69,English,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64447137c99d0de1790e4647,5c0c23a7217d60000112173a,APPROVED,2023-04-22T23:43:53.897000Z,2023-04-23T00:08:44.806000Z,2023-04-23T00:08:45.611000,2023-04-23T00:08:45.561862Z,1491,CTR530VA,1935,English,24,Female,White,United States,United States,United States,English,No,Full-Time
6444727d6784e8ff27d504e7,5ec5953a9fbe6c5bce4a743c,APPROVED,2023-04-22T23:49:20.410000Z,2023-04-22T23:53:49.417000Z,2023-04-22T23:53:49.807000,2023-04-22T23:53:49.754700Z,270,CTR530VA,767,English,26,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64447322aa641ca8d54873b9,5dc47ddd034b45342d3b2e3a,APPROVED,2023-04-22T23:52:06.207000Z,2023-04-22T23:58:01.192000Z,2023-04-22T23:58:01.612000,2023-04-22T23:58:01.553962Z,355,CTR530VA,3963,English,34,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64447386c9515ea5e6d952cc,60749006a2c37cf53763a864,APPROVED,2023-04-22T23:53:45.779000Z,2023-04-22T23:58:41.771000Z,2023-04-22T23:58:42.354000,2023-04-22T23:58:42.293492Z,296,CTR530VA,317,English,37,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6444739226abc2efa8840b8c,5b0b4f41641b1200010ecb11,APPROVED,2023-04-22T23:54:10.889000Z,2023-04-23T00:05:10.801000Z,2023-04-23T00:05:24.349000,2023-04-23T00:05:22.004431Z,660,CTR530VA,968,English,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644473c1cbe87db51b4bf69e,5df5eeb3ef7f5e41d160d60b,APPROVED,2023-04-22T23:54:45.046000Z,2023-04-23T00:00:25.978000Z,2023-04-23T00:00:43.128000Z,2023-04-23T00:02:31.596340Z,341,CTR530VA,167,English,34,Male,Asian,Canada,United States,United States,Vietnamese,Yes,DATA_EXPIRED
644473cc9b0430b8580ca451,5f39c5e729c84558731bcca3,APPROVED,2023-04-22T23:55:21.652000Z,2023-04-23T00:02:13.904000Z,2023-04-23T00:03:17.017000Z,2023-04-23T00:04:56.679576Z,413,CTR530VA,1667,English,32,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
644473dd9f595ec55bc23af9,5de7283098e7956ab99b23e0,APPROVED,2023-04-22T23:55:14.812000Z,2023-04-22T23:59:38.520000Z,2023-04-22T23:59:39.085000,2023-04-22T23:59:39.010258Z,264,CTR530VA,1145,English,43,Female,Mixed,United States,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
644474409264de7ea14bf672,607b155c459cf45e913f93a6,APPROVED,2023-04-22T23:56:55.658000Z,2023-04-23T00:04:34.844000Z,2023-04-23T00:05:04.235000Z,2023-04-23T00:05:07.437067Z,460,CTR530VA,437,English,33,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644474411ec26bc4454873e4,5f60d31390a8c1044e775b18,APPROVED,2023-04-22T23:56:57.137000Z,2023-04-23T00:06:15.782000Z,2023-04-23T00:06:16.605000,2023-04-23T00:06:16.508757Z,559,CTR530VA,422,English,58,Male,White,United States,United States,United States,English,No,Part-Time
6444747a04b382e2bd5f2f0b,60345f1a6f41922a712a186e,APPROVED,2023-04-22T23:57:57.194000Z,2023-04-23T00:06:04.075000Z,2023-04-23T00:06:05.777000,2023-04-23T00:06:04.494694Z,487,CTR530VA,458,English,32,Male,White,United States,United States,United States,English,No,Full-Time
644474817d52c4218f0aa2c6,5fee99daeae54318b087e9b5,APPROVED,2023-04-22T23:57:56.027000Z,2023-04-23T00:03:08.584000Z,2023-04-23T00:04:48.918000Z,2023-04-23T00:05:04.766104Z,313,CTR530VA,591,English,42,Female,White,United States,United States,United States,English,Yes,Full-Time
644474ac024cba4679d504e8,5b9c2c53d1ff7a00013b69dd,APPROVED,2023-04-22T23:58:41.351000Z,2023-04-23T00:05:22.031000Z,2023-04-23T00:05:27.564000,2023-04-23T00:05:24.295680Z,401,CTR530VA,637,English,40,Female,White,United States,United States,United States,English,No,Full-Time
